mean_eval,pop_best_eval,median_eval,best_eval,worst_eval,no_envs
25.9947509765625,12.250149726867676,17.56473731994629,12.250149726867676,81.25008392333984,36
24.813488006591797,-113.57423400878906,26.49696159362793,-113.57423400878906,91.83873748779297,36
26.363916397094727,4.181646823883057,15.437885284423828,-113.57423400878906,133.71022033691406,36
17.921810150146484,-20.411428451538086,15.593536376953125,-113.57423400878906,133.71022033691406,36
14.396636962890625,-150.50497436523438,18.38016128540039,-150.50497436523438,133.71022033691406,36
9.752720832824707,-153.47544860839844,14.301682472229004,-153.47544860839844,133.71022033691406,36
9.39509391784668,-157.11199951171875,15.129362106323242,-157.11199951171875,133.71022033691406,36
19.521541595458984,-32.58231735229492,16.209632873535156,-157.11199951171875,133.71022033691406,36
30.064504623413086,12.814665794372559,15.89015007019043,-157.11199951171875,155.90286254882812,36
19.0097713470459,8.812915802001953,14.764001846313477,-157.11199951171875,155.90286254882812,36
8.842663764953613,-109.86809539794922,12.903680801391602,-157.11199951171875,155.90286254882812,36
10.737641334533691,-122.4087142944336,14.064326286315918,-157.11199951171875,155.90286254882812,36
-4.362035274505615,-133.4903564453125,11.02616024017334,-157.11199951171875,155.90286254882812,36
-43.678375244140625,-168.8251190185547,4.305534839630127,-168.8251190185547,155.90286254882812,36
-18.722347259521484,-148.19180297851562,6.187859535217285,-168.8251190185547,155.90286254882812,36
15.531000137329102,-161.69696044921875,19.23525619506836,-168.8251190185547,219.8673553466797,36
-34.066158294677734,-155.90341186523438,-97.41322326660156,-168.8251190185547,219.8673553466797,36
-36.94578170776367,-153.56394958496094,-106.55084991455078,-168.8251190185547,219.8673553466797,36
-42.58098220825195,-165.78143310546875,6.009692192077637,-168.8251190185547,219.8673553466797,36
-43.398475646972656,-181.37564086914062,-105.53533172607422,-181.37564086914062,219.8673553466797,36
0.3842025697231293,-159.3058624267578,2.0053672790527344,-181.37564086914062,219.8673553466797,36
-44.6324462890625,-148.7725067138672,-138.18470764160156,-181.37564086914062,219.8673553466797,36
